,설립일,소재지,원장,상급기관,산하기관,웹사이트,비고
한국표준과학연구원,1975년 12월 24일,대전광역시 유성구 가정로 267 (가정동),,,,한국표준과학연구원 - 공식 웹사이트,
한국지질자원연구원,1948년 9월 13일,대전광역시 유성구 과학로 124(가정동 30),,과학기술정보통신부,,한국지질자원연구원 - 공식 웹사이트,
한국전기연구원,1976년 12월 29일,경상남도 창원시 성산구 전기의길 12 (성주동),,과학기술정보통신부,,한국전기연구원 - 공식 웹사이트,
한국화학연구원,1976년,대한민국 대전광역시 유성구,,,,한국화학연구원 - 공식 웹사이트,
국립해양생물자원관,2015년 4월 20일,충청남도 서천군 장항읍 장산로101번길 75,,대한민국 해양수산부,,http://www.mabik.re.kr/,
국방과학연구소,1970년 8월 6일,대전광역시 유성구,,대한민국 방위사업청,,국방과학연구소 - 공식 웹사이트,
국립생태원,,충청남도 서천군 마서면 금강로 1210,,,,http://www.nie.re.kr/,
한국식품연구원,,전라북도 완주군 이서면 농생명로 245,백형희,,,http://www.kfri.re.kr/,
국립암센터,,,,보건복지부,,,오류
KDI 국제정책대학원,,세종특별자치시 남세종로 263 (반곡동 203-40),,,,http://www.kdischool.ac.kr/,
한국천문연구원,,대전,,,,www.kasi.re.kr,
한국항공우주연구원,,대전광역시 유성구 과학로 169-84,,,,http://www.kari.re.kr/,
한국과학기술원,,본부대전광역시 유성구 대학로 291서울캠퍼스서울특별시 동대문구 회기로 85문지캠퍼스대전광역시 유성구 문지로 193도곡캠퍼스서울특별시 강남구 논현로28길 25,,,,kaist.ac.kr,
광주과학기술원,,광주광역시 북구,,,,http://www.gist.ac.kr/,
대구경북과학기술원,,대구광역시 달성군 현풍읍테크노중앙대로 333,,,,,
건축공간연구원,,,,,,,오류
육아정책연구소,,,,,,,오류
녹색기술센터,,,,,,,오류
한국기초과학지원연구원,,,,,,,오류
한국생명공학연구원,,,,,,,오류
한국한의학연구원,,,,,,,오류
한국생산기술연구원,,,,,,,오류
한국전자통신연구원,,,,,,,오류
국가보안기술연구소,,,,,,,오류
한국건설기술연구원,,,,,,,오류
한국철도기술연구원,,,,,,,오류
세계김치연구소,,,,,,,오류
한국기계연구원,,,,,,,오류
한국재료연구원,,,,,,,오류
한국에너지기술연구원,,,,,,,오류
안전성평가연구소,,,,,,,오류
한국원자력연구원,,,,,,,오류
기초과학연구원,,,,,,,오류
국가수리과학연구소,,,,,,,오류
고등과학원,,,,,,,오류
한국해양과학기술원,,,,,,,오류
극지연구소,,,,,,,오류
선박해양플랜트연구소,,,,,,,오류
한국국방연구원,,,,,,,오류
국방기술품질원,,,,,,,오류
한국학중앙연구원,,,,,,,오류
국립낙동강생물자원관,,,,,,,오류
원자력의학원,,,,,,,문서 없음
한국과학재단,,,,,,,문서 없음
원자력안전기술원,,,,,,,문서 없음
국립호남권생물자원관,,,,,,,문서 없음
